,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
33,186.8884626,42.955641,0,715,13,3,50,1,zg,1575320425015,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.99918997,1.09099996,0.950592995,0,19.8577003,1536.5,1540.5,186.8884833413,42.95568668247,-0.0002810655984437,-1.070438916897e-05,1.073512198297e-05,-0.0002810614587153,187.50515675,43.37043554,186.31708576,43.40352265,186.28040882,42.53781326,187.45173832,42.50510855,2021-06-30 00:00:00+00,1
34,186.61830228,37.22107405,0,715,1,3,2,1,zg,1575320420215,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.89624,1.09099996,0.950592995,0,19.7474003,1536.5,1540.5,186.6183628193,37.22105724937,-0.0002810427383776,-9.818183925009e-06,9.942379487750002e-06,-0.0002810969762268,187.18272157,37.63730695,186.0920915,37.66802438,186.06048053,36.8022447,187.13817357,36.77182757,2021-06-30 00:00:00+00,1
35,185.44559049,40.02129277,0,715,6,1,20,1,zg,1575320422015,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96601999,1.09099996,0.950592995,0,19.7591991,1536.5,1540.5,185.4455643353,40.02122975368,-0.0002812456235104,-5.614273727587e-06,5.695107795694e-06,-0.0002812375772571,186.02441578,40.44407137,184.88932427,40.46171014,184.87365515,39.59544004,185.9947382,39.57813602,2021-06-30 00:00:00+00,1
36,185.53056004,42.98239686,0,715,14,4,55,1,zg,1575320425515,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.94761002,1.09099996,0.950592995,0,19.8938999,1536.5,1540.5,185.530526024,42.98242718964,-0.0002811822060284,-6.879534523054e-06,6.800955066087e-06,-0.0002811656859042,186.13951118,43.40339474,184.95040339,43.42449984,184.92982592,42.55840478,186.10213591,42.53780719,2021-06-30 00:00:00+00,1
37,184.31702222,40.03320492,0,715,6,2,21,1,zg,1575320422115,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.97239995,1.09099996,0.950592995,0,19.7038994,1536.5,1540.5,184.3170674159,40.03314602589,-0.000281289124063,-2.078008775444e-06,2.054501546764e-06,-0.0002812934000214,184.88916574,40.46165994,183.75360984,40.46803393,183.75211351,39.60183343,184.87359215,39.59546997,2021-06-30 00:00:00+00,1
38,186.7443059,39.99699451,0,715,5,2,17,1,zg,1575320421715,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96563005,1.09099996,0.950592995,0,19.8180008,1536.5,1540.5,186.7443273732,39.99699126453,-0.0002811333139668,-9.860801056183e-06,9.844654164264e-06,-0.0002811179286744,187.33141194,40.41322734,186.19700529,40.4435747,186.16448066,39.57772116,187.28469175,39.54767669,2021-06-30 00:00:00+00,1
39,185.4232074,39.15501208,0,715,6,4,23,1,zg,1575320422315,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.92919004,1.09099996,0.950592995,0,19.7434998,1536.5,1540.5,185.4232068861,39.15501805287,-0.0002812334837612,-5.567717807864e-06,5.573590750202e-06,-0.000281236637453,185.99473919,39.57822066,184.87364457,39.59543462,184.85851268,38.72922835,185.96559257,38.71234612,2021-06-30 00:00:00+00,1
40,186.65702937,38.08681668,0,715,1,2,1,1,zg,1575320420115,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.89161003,1.09099996,0.950592995,0,19.8372002,1536.5,1540.5,186.6570603184,38.08678607548,-0.0002810634381063,-1.005672584905e-05,1.007336921771e-05,-0.000281068896862,187.22849234,38.50272573,186.12517184,38.53368674,186.09235493,37.66801803,187.1827653,37.63730137,2021-06-30 00:00:00+00,1
41,185.47412183,41.07242,0,715,10,4,39,1,zg,1575320423915,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96130002,1.09099996,0.950592995,0,19.7989006,1536.5,1540.5,185.4740363732,41.07243911718,-0.0002812501989639,-5.815031823967e-06,5.772998594259e-06,-0.0002812411725043,186.06272658,41.49516209,184.90907988,41.51305303,184.89295148,40.64675568,186.03136598,40.62932151,2021-06-30 00:00:00+00,1
42,183.02035441,41.08583443,0,715,11,4,43,1,zg,1575320424315,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.99152994,1.09099996,0.950592995,0,19.7621002,1536.5,1540.5,183.0202785686,41.08585094851,-0.0002813028191897,2.098152661017e-06,-2.132776222063e-06,-0.0002812974729687,183.59292884,41.52094098,182.43880521,41.51431794,182.45518236,40.64805201,183.59399487,40.65470261,2021-06-30 00:00:00+00,1
43,184.30872281,39.1667636,0,715,6,3,22,1,zg,1575320422215,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.98330998,1.09099996,0.950592995,0,19.7451,1536.5,1540.5,184.3087288917,39.16681442929,-0.0002812860029225,-2.001749518646e-06,2.086271044708e-06,-0.0002812995522464,184.87359237,39.5953672,183.7521514,39.60187721,183.75102673,38.73562881,184.8584632,38.72913857,2021-06-30 00:00:00+00,1
44,184.32766061,41.08448844,0,715,10,3,38,1,zg,1575320423815,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.95485997,1.09099996,0.950592995,0,19.7444,1536.5,1540.5,184.327722372,41.08454088537,-0.0002813039880818,-2.051095768982e-06,2.115636961014e-06,-0.0002812966990592,184.90910659,41.5130704,183.75490185,41.51950789,183.75421236,40.65327357,184.89295655,40.64676926,2021-06-30 00:00:00+00,1
45,187.75360114,38.05074632,0,715,1,1,0,1,zg,1575320420015,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96738005,1.09099996,0.950592995,0,19.7714996,1536.5,1540.5,187.7536139915,38.05071812328,-0.0002809046847705,-1.33362689935e-05,1.346216096196e-05,-0.0002809083348942,188.33070191,38.46105099,187.22845439,38.50274239,187.18280097,37.63733696,188.27211761,37.59641585,2021-06-30 00:00:00+00,1
46,185.3770763,37.24225679,0,715,2,4,7,1,zg,1575320420715,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.96420002,1.09099996,0.950592995,0,19.7311001,1536.5,1540.5,185.3770309738,37.24230325064,-0.0002811900538717,-5.246407689459e-06,5.255270585028e-06,-0.0002812459235949,185.93299518,37.66592142,184.8415583,37.6823357,184.82742332,36.81608562,185.90608707,36.80003176,2021-06-30 00:00:00+00,1
47,185.39775355,38.10851948,0,715,2,1,4,1,zg,1575320420415,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.98236001,1.09099996,0.950592995,0,19.7437,1536.5,1540.5,185.3977465408,38.10847592612,-0.0002812196612326,-5.353347559699e-06,5.463336119191e-06,-0.0002812513687993,185.96035503,38.53178379,184.85599241,38.54854595,184.84150743,37.68236615,185.93293524,37.66588607,2021-06-30 00:00:00+00,1
48,186.7053505,39.13113077,0,715,5,3,18,1,zg,1575320421815,1575,157532042,1,object,o,2021-04-25 07:41:25.566+00,2459329.8204282,30,20210425320405,1.93480003,1.09099996,0.950592995,0,19.7693005,1536.5,1540.5,186.7054059647,39.13114041798,-0.0002811307574691,-9.616441045364e-06,9.721339060597e-06,-0.0002811146688386,187.28472696,39.54768412,186.16454269,39.57769427,186.13323629,38.71197233,187.2394701,38.68213033,2021-06-30 00:00:00+00,1
49,199.19040406,37.24779433,0,717,3,3,10,1,zg,1575329471015,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.88248003,1.028,0.951067984,0,19.8166008,1536.5,1540.5,199.1904269239,37.24779060695,-0.000281209596104,4.554799003798e-06,-4.528005620259e-06,-0.0002812706222151,199.72756001,37.68671905,198.63589228,37.67264674,198.65988284,36.80667996,199.73863181,36.82034122,2021-06-30 00:00:00+00,1
50,201.51785843,37.25549094,0,717,2,3,6,1,zg,1575329470615,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.94380999,1.028,0.951067984,0,19.8136997,1536.5,1540.5,201.517889373,37.25546860317,-0.0002812416841374,-2.133018517655e-06,2.204465017719e-06,-0.0002813084493775,202.06805082,37.68400091,200.97625233,37.69084714,200.97422847,36.82462076,202.05323591,36.81771608,2021-06-30 00:00:00+00,1
51,199.17267932,38.11411364,0,717,3,2,9,1,zg,1575329470915,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.92080998,1.028,0.951067984,0,19.8292999,1536.5,1540.5,199.1727160868,38.11410136473,-0.0002812376010872,4.568134013509e-06,-4.635757177246e-06,-0.0002812612848819,199.71596095,38.55303173,198.61156982,38.53854313,198.63593812,37.67263933,199.72740831,37.68679388,2021-06-30 00:00:00+00,1
52,197.86623366,39.1353167,0,717,8,4,31,1,zg,1575329473115,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.88396001,1.028,0.951067984,0,19.8882008,1536.5,1540.5,197.8661696987,39.13535657651,-0.0002811153728981,9.834144119141e-06,-9.931253083238e-06,-0.0002810782829492,198.40662391,39.58208393,197.28641305,39.55158724,197.33237224,38.68613294,198.43876415,38.71637869,2021-06-30 00:00:00+00,1
53,199.14971785,39.16121373,0,717,7,3,26,1,zg,1575329472615,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.85332,1.028,0.951067984,0,19.8535995,1536.5,1540.5,199.1497753103,39.1612390142,-0.0002812406421981,5.784251963103e-06,-5.740355933881e-06,-0.0002812327793705,199.69894169,39.60184198,198.57766482,39.58414161,198.60760966,38.71827515,199.71473542,38.73561978,2021-06-30 00:00:00+00,1
54,204.02327609,41.04234454,0,717,9,3,34,1,zg,1575329473415,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.98054004,1.028,0.951067984,0,19.8146,1536.5,1540.5,204.0233252472,41.0423528407,-0.0002811009569563,-1.008096307444e-05,1.014087425124e-05,-0.0002811033864269,204.62035173,41.45817944,203.46782,41.4894806,203.43414771,40.62376197,204.57138706,40.59262557,2021-06-30 00:00:00+00,1
55,201.56690445,41.95299493,0,717,10,2,37,1,zg,1575329473715,1575,157532947,1,object,o,2021-04-25 07:54:27.951+00,2459329.8294792,30,20210425329444,1.99918997,1.028,0.951067984,0,19.8540001,1536.5,1540.5,201.5669401862,41.95298822823,-0.0002813013342611,-2.33145027753e-06,2.289068438375e-06,-0.0002813089856215,202.15670063,42.38106932,200.98697224,42.38808713,200.98510358,41.52183359,202.13919836,41.51475422,2021-06-30 00:00:00+00,1
